Date,Close
12/16/15,"$2,073.07 "
12/17/15,"$2,041.89 "
12/18/15,"$2,005.55 "
12/21/15,"$2,021.15 "
12/22/15,"$2,038.97 "
12/23/15,"$2,064.29 "
12/24/15,"$2,060.99 "
12/28/15,"$2,056.50 "
12/29/15,"$2,078.36 "
12/30/15,"$2,063.36 "
12/31/15,"$2,043.94 "
1/4/16,"$2,012.66 "
1/5/16,"$2,016.71 "
1/6/16,"$1,990.26 "
1/7/16,"$1,943.09 "
1/8/16,"$1,922.03 "
1/11/16,"$1,923.67 "
1/12/16,"$1,938.68 "
1/13/16,"$1,890.28 "
1/14/16,"$1,921.84 "
1/15/16,"$1,880.33 "
1/19/16,"$1,881.33 "
1/20/16,"$1,859.33 "
1/21/16,"$1,868.99 "
1/22/16,"$1,906.90 "
1/25/16,"$1,877.08 "
1/26/16,"$1,903.63 "
1/27/16,"$1,882.95 "
1/28/16,"$1,893.36 "
1/29/16,"$1,940.24 "
2/1/16,"$1,939.38 "
2/2/16,"$1,903.03 "
2/3/16,"$1,912.53 "
2/4/16,"$1,915.45 "
2/5/16,"$1,880.05 "
2/8/16,"$1,853.44 "
2/9/16,"$1,852.21 "
2/10/16,"$1,851.86 "
2/11/16,"$1,829.08 "
2/12/16,"$1,864.78 "
2/16/16,"$1,895.58 "
2/17/16,"$1,926.83 "
2/18/16,"$1,917.83 "
2/19/16,"$1,917.78 "
2/22/16,"$1,945.50 "
2/23/16,"$1,921.27 "
2/24/16,"$1,929.80 "
2/25/16,"$1,951.70 "
2/26/16,"$1,948.05 "
2/29/16,"$1,932.23 "
3/1/16,"$1,978.35 "
3/2/16,"$1,986.45 "
3/3/16,"$1,993.40 "
3/4/16,"$1,999.99 "
3/7/16,"$2,001.76 "
3/8/16,"$1,979.26 "
3/9/16,"$1,989.27 "
3/10/16,"$1,989.57 "
3/11/16,"$2,022.19 "
3/14/16,"$2,019.64 "
3/15/16,"$2,015.93 "
3/16/16,"$2,027.22 "
3/17/16,"$2,040.59 "
3/18/16,"$2,049.58 "
3/21/16,"$2,051.60 "
3/22/16,"$2,049.80 "
3/23/16,"$2,036.71 "
3/24/16,"$2,035.94 "
3/28/16,"$2,037.05 "
3/29/16,"$2,055.01 "
3/30/16,"$2,063.95 "
3/31/16,"$2,059.74 "
4/1/16,"$2,072.78 "
4/4/16,"$2,066.13 "
4/5/16,"$2,045.17 "
4/6/16,"$2,066.66 "
4/7/16,"$2,041.91 "
4/8/16,"$2,047.60 "
4/11/16,"$2,041.99 "
4/12/16,"$2,061.72 "
4/13/16,"$2,082.42 "
4/14/16,"$2,082.78 "
4/15/16,"$2,080.73 "
4/18/16,"$2,094.34 "
4/19/16,"$2,100.80 "
4/20/16,"$2,102.40 "
4/21/16,"$2,091.48 "
4/22/16,"$2,091.58 "
4/25/16,"$2,087.79 "
4/26/16,"$2,091.70 "
4/27/16,"$2,095.15 "
4/28/16,"$2,075.81 "
4/29/16,"$2,065.30 "
5/2/16,"$2,081.43 "
5/3/16,"$2,063.37 "
5/4/16,"$2,051.12 "
5/5/16,"$2,050.63 "
5/6/16,"$2,057.14 "
5/9/16,"$2,058.69 "
5/10/16,"$2,084.39 "
5/11/16,"$2,064.46 "
5/12/16,"$2,064.11 "
5/13/16,"$2,046.61 "
5/16/16,"$2,066.66 "
5/17/16,"$2,047.21 "
5/18/16,"$2,047.63 "
5/19/16,"$2,040.04 "
5/20/16,"$2,052.32 "
5/23/16,"$2,048.04 "
5/24/16,"$2,076.06 "
5/25/16,"$2,090.54 "
5/26/16,"$2,090.10 "
5/27/16,"$2,099.06 "
5/31/16,"$2,096.96 "
6/1/16,"$2,099.33 "
6/2/16,"$2,105.26 "
6/3/16,"$2,099.13 "
6/6/16,"$2,109.41 "
6/7/16,"$2,112.13 "
6/8/16,"$2,119.12 "
6/9/16,"$2,115.48 "
6/10/16,"$2,096.07 "
6/13/16,"$2,079.06 "
6/14/16,"$2,075.32 "
6/15/16,"$2,071.50 "
6/16/16,"$2,077.99 "
6/17/16,"$2,071.22 "
6/20/16,"$2,083.25 "
6/21/16,"$2,088.90 "
6/22/16,"$2,085.45 "
6/23/16,"$2,113.32 "
6/24/16,"$2,037.41 "
6/27/16,"$2,000.54 "
6/28/16,"$2,036.09 "
6/29/16,"$2,070.77 "
6/30/16,"$2,098.86 "
7/1/16,"$2,102.95 "
7/5/16,"$2,088.55 "
7/6/16,"$2,099.73 "
7/7/16,"$2,097.90 "
7/8/16,"$2,129.90 "
7/11/16,"$2,137.16 "
7/12/16,"$2,152.14 "
7/13/16,"$2,152.43 "
7/14/16,"$2,163.75 "
7/15/16,"$2,161.74 "
7/18/16,"$2,166.89 "
7/19/16,"$2,163.78 "
7/20/16,"$2,173.02 "
7/21/16,"$2,165.17 "
7/22/16,"$2,175.03 "
7/25/16,"$2,168.48 "
7/26/16,"$2,169.18 "
7/27/16,"$2,166.58 "
7/28/16,"$2,170.06 "
7/29/16,"$2,173.60 "
8/1/16,"$2,170.84 "
8/2/16,"$2,157.03 "
8/3/16,"$2,163.79 "
8/4/16,"$2,164.25 "
8/5/16,"$2,182.87 "
8/8/16,"$2,180.89 "
8/9/16,"$2,181.74 "
8/10/16,"$2,175.49 "
8/11/16,"$2,185.79 "
